Count of location,
Row Labels,Total
6000 S TERMINAL PKWY,16
101 HAMILTON E HOLMES DR NW,15
1025 HOWELL MILL RD NW,15
1217 CAROLINE ST NE,15
1545 NORTHSIDE DR NW,15
165 COURTLAND ST NE @SHERATON ATLANTA,15
20 BROAD ST SW,15
200 14TH ST NW,15
2539 PIEDMONT RD NE,15
2800 MARTIN L KING JR DR SW,15
3 JOSEPH E LOWERY BLVD NW,15
3000 STONE HOGAN CONN SW,15
3012 JONESBORO RD SE,15
320 FAIRBURN RD SW,15
3440 BOULDER PARK DR SW,15
3535 PEACHTREE RD NE,15
3550 CAMPBELLTON RD SW,15
3670 CAMP CREEK PKWY SW,15
3901 CAMPBELLTON RD SW,15
438 MORELAND AVE NE,15
4511 CAMPBELLTON RD SW,15
480 JOHN WESLEY DOBBS AVE NE,15
585 MCWILLIAMS RD SE,15
76 4TH ST NW,15
85 MOUNT ZION RD SW,15
895 RALPH D ABERNATHY BLVD SW,15
925 CANTERBURY RD NE,15
1065 PEACHTREE ST NE,14
1892 HOWELL MILL RD NW,14
2018 BOLTON RD NW,14
23 LARKIN PL SW,14
2350 CHESHIRE BRIDGE RD NE,14
265 PEACHTREE CENTER AVE NE,14
2841 GREENBRIAR PKWY SW @Multiple,14
3101 PIEDMONT RD NE,14
3181 DONALD LEE HOLLOWELL PKWY NW @PETRO TRUCK STOP,14
3334 PEACHTREE RD NE,14
400 EDGEWOOD AVE NE,14
455 NORTH AVE NE,14
501 CONNELL AVE SW,14
502 PRYOR ST SW,14
540 HUMPHRIES ST SW,14
768 MARIETTA ST NW,14
80 JESSE HILL JR DR SE @GRADY,14
820 W MARIETTA ST NW,14
8700 SPINE RD,14
965 SELLS AVE SW,14
1117 LEE ST SW,13
1219 METROPOLITAN PKWY SW,13
1350 MAYSON TURNER RD NW,13
1483 ARTHUR LANGFORD JR PL SW,13
1617 JOSEPH E BOONE BLVD NW,13
1950 HOWELL MILL RD NW,13
1968 PEACHTREE RD NW @PIEDMONT HOSPITAL,13
1991 HOWELL MILL RD NW,13
204 MOURY AVE SW,13
2178 CAMPBELLTON RD SW,13
230 18TH ST NW,13
2399 PARKLAND DR NE,13
3170 DONALD LEE HOLLOWELL PKWY NW,13
3180 PEACHTREE RD NE,13
3350 MOUNT GILEAD RD SW,13
3440 PEACHTREE RD NE,13
3601 MARTIN L KING JR DR NW,13
374 CLEVELAND AVE SW,13
390 STOVALL ST SE,13
479 JOSEPH E BOONE BLVD NW,13
555 WHITEHALL ST SW,13
595 PIEDMONT AVE NE,13
6000 NORTH TERMINAL PKWY,13
610 SPRING ST NW,13
62 HARWELL RD NW,13
712 MAIDEN LN NE,13
923 LEE ST SW,13
1033 HOLLYWOOD RD NW,12
1093 WEST AVE SW,12
1217 METROPOLITAN PKWY SW,12
1544 PIEDMONT AVE NE @ANSLEY MALL,12
1655 MEMORIAL DR SE,12
1735 DEFOOR PL NW,12
1994 BENT CREEK WAY SW,12
220 26TH ST NW,12
2348 CASCADE RD SW,12
2429 MARTIN L KING JR DR NW,12
2524 MARTIN L KING JR DR SW,12
